id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Sahara Tone,world,calm,0.30,85,0.55,0.40,0.80
12,Electric Pulse,Neon Grid,edm,energetic,0.95,140,0.78,0.92,0.08
13,Heartbreak Avenue,Soul Strings,rnb,sad,0.45,70,0.35,0.50,0.65
14,Golden Sunset,Acoustic Vibes,folk,peaceful,0.33,88,0.72,0.48,0.90
15,Urban Shadows,Beat Syndicate,hip-hop,moody,0.68,100,0.44,0.75,0.20
16,Ocean Dreams,Waveform,ambient,relaxed,0.25,55,0.60,0.35,0.95
17,Retro Night,Disco Fever,disco,happy,0.85,120,0.88,0.89,0.15
18,Thunder Strike,Iron Core,metal,intense,0.97,160,0.40,0.60,0.05
19,Morning Breeze,Soft Notes,classical,calm,0.20,65,0.70,0.30,0.98
20,City Lights Run,Street Motion,hip-hop,focused,0.72,105,0.52,0.78,0.25
